enunciado_latex,enunciado,solucion,texto,curso,titulo,n_ejercicio,dificultad,n_columnas,puntos
\frac{{2x - 5}}{{2{x^3} - 5{x^2} - 2x + 5}},(2*x - 5)/(-2*x + 2*x**3 - 5*x**2 + 5),\frac{2}{2 x^{2} - 2},Simplifica las siguientes fracciones algebraicas:,1BC,5 - Fracciones Algebraicas,p014e05,1,2,1
\frac{x - 2}{{x^2} - 4},(x - 2)/(x**2 - 4),\frac{1}{x + 2},Simplifica las siguientes fracciones algebraicas:,1BC,5 - Fracciones Algebraicas,p014e05,1,2,1
\frac{{{x^2} - 2}}{{x - \sqrt {2 }}},(x**2 - 2)/(x - sqrt(2)),x + \sqrt{2},Simplifica las siguientes fracciones algebraicas:,1BC,5 - Fracciones Algebraicas,p014e05,1,2,1
\frac{{{x^2} + 2x + 1}}{{{x^2} - 1}},(x**2 + 2*x + 1)/(x**2 - 1),\frac{x + 1}{x - 1},Simplifica las siguientes fracciones algebraicas:,1BC,5 - Fracciones Algebraicas,p014e05,1,2,1
\frac{{{x^3} - 2{x^2} - 5x + 6}}{{{x^2} + x - 2}},(-5*x + x**3 - 2*x**2 + 6)/(x**2 + x - 2),x - 3,Simplifica las siguientes fracciones algebraicas:,1BC,5 - Fracciones Algebraicas,p014e05,1,2,1
\frac{2}{{x + 7}} + \frac{{x + 4}}{{x - 7}},2/(x + 7) + (x + 4)/(x - 7),\frac{x^{2} + 13 x + 14}{x^{2} - 49},"Calcula, simplificando el resultado:",1BC,5 - Fracciones Algebraicas,p014e05,1,2,1
\frac{1}{{x + 5}} + \frac{x}{{{x^2} + 10x + 25}},x/(x**2 + 10*x + 25) + 1/(x + 5),\frac{2 x + 5}{x^{2} + 10 x + 25},"Calcula, simplificando el resultado:",1BC,5 - Fracciones Algebraicas,p014e05,1,2,1
\frac{1}{{x + 5}} - \frac{x}{{{x^2} + 10x + 25}},-x/(x**2 + 10*x + 25) + 1/(x + 5),\frac{5}{x^{2} + 10 x + 25},"Calcula, simplificando el resultado:",1BC,5 - Fracciones Algebraicas,p014e05,1,2,1
\frac{{12}}{{x - 3}} + \frac{{x + 4}}{{2x + 1}} - \frac{x}{{{x^2} - 6x + 9}},-x/(x**2 - 6*x + 9) + (x + 4)/(2*x + 1) + 12/(x - 3),\frac{x^{3} + 20 x^{2} - 76 x}{2 x^{3} - 11 x^{2} + 12 x + 9},"Calcula, simplificando el resultado:",1BC,5 - Fracciones Algebraicas,p014e05,1,2,1
\frac{1}{{x - 1}} \cdot \frac{{{x^2} - 1}}{{x + 2}} \cdot \frac{{x + 2}}{{x - 3}},(((x**2 - 1)/(x + 2))/(x - 1))*((x + 2)/(x - 3)),\frac{x + 1}{x - 3},"Calcula, simplificando el resultado:",1BC,5 - Fracciones Algebraicas,p014e05,1,2,1
\frac{{2x + 1}}{x} \cdot \frac{{{x^2} - 3x}}{{4{x^2} - 1}},((2*x + 1)/x)*((x**2 - 3*x)/(4*x**2 - 1)),\frac{2 x - 6}{4 x - 2},"Calcula, simplificando el resultado:",1BC,5 - Fracciones Algebraicas,p014e05,1,2,1
\frac{{3x - 1}}{x} \cdot \frac{{{x^2}}}{{9{x^2} - 1}},((3*x - 1)/x)*(x**2/(9*x**2 - 1)),\frac{3 x}{9 x + 3},"Calcula, simplificando el resultado:",1BC,5 - Fracciones Algebraicas,p014e05,1,2,1
{7x}:\frac{{{x^2} - 4x}}{{x - 2}},(7*x)/(((x**2 - 4*x)/(x - 2))),\frac{7 x - 14}{x - 4},"Calcula, simplificando el resultado:",1BC,5 - Fracciones Algebraicas,p014e05,1,2,1
\frac{{x - 3}}{{x - 1}}:\frac{{{x^2} - 3x}}{{{x^2} - 1}},((x - 3)/(x - 1))/(((x**2 - 3*x)/(x**2 - 1))),\frac{x + 1}{x},"Calcula, simplificando el resultado:",1BC,5 - Fracciones Algebraicas,p014e05,1,2,1
\frac{{{x^2} - 3x - 4}}{x}:\frac{{x + 1}}{{{x^2} + 2x}},((x**2 - 3*x - 4)/x)/(((x + 1)/(x**2 + 2*x))),x^{2} - 2 x - 8,"Calcula, simplificando el resultado:",1BC,5 - Fracciones Algebraicas,p014e05,1,2,1
