enunciado_latex,enunciado,solucion,texto,curso,titulo,n_ejercicio,dificultad,n_columnas,puntos,enun_tex
"P(x)=\left(3 x^{2} - \frac{3}{x}\right)^{10} \, ","((3*x**2 - 3/x)**10, -14880348*x**10)",- 14880348 x^{10},"Encontrar, sin hacer todo el desarrollo, el término central del desarrollo del siguiente polinomio:",1BC,Parcial 1,ex01e04,1,3,2,True
"P(x)=\left(3 x^{2} - \frac{1}{3 x}\right)^{10} \, ","((3*x**2 - 1/(3*x))**10, -61236*x**10)",- 61236 x^{10},"Encontrar, sin hacer todo el desarrollo, el término central del desarrollo del siguiente polinomio:",1BC,Parcial 1,ex01e04,1,3,2,True
"P(x)=\left(x^{2} + x\right)^{4} \, ","((x**2 + x)**4, 6*x**6)",6 x^{6},"Encontrar, sin hacer todo el desarrollo, el término central del desarrollo del siguiente polinomio:",1BC,Parcial 1,ex01e04,1,3,2,True
\frac{{2 - \sqrt {3} }}{{1 - \sqrt {3} }}-\frac{1}{2\sqrt {3}}+ \frac{3}{2-\sqrt{3} },(-sqrt(3) + 2)/(-sqrt(3) + 1) - sqrt(3)/6 + 3/(-sqrt(3) + 2),\frac{14 \sqrt{3} + 39}{6}\to\frac{7 \sqrt{3}}{3} + \frac{13}{2},Efectúa:,1BC,Parcial 1,ex01e05,1,3,1,True
\frac{\sqrt{3}}{\sqrt{3}-\sqrt{2}}-\frac{\sqrt{3}}{\sqrt{3}+\sqrt{2}},-sqrt(3)/(sqrt(2) + sqrt(3)) + sqrt(3)/(-sqrt(2) + sqrt(3)),2 \sqrt{6}\to2 \sqrt{6},Efectúa:,1BC,Parcial 1,ex01e05,1,3,1,True
El \ resto \ de \ dividir \ P(x)=x^{27}-kx+3k-4 \ entre\  x-1 \ sea \ 5 ,"(Poly((3*k - k*x + x**27) - 4, 3*k - k*x + x**27, domain='ZZ'), Poly(x - 1, x, domain='ZZ'), 5)",4,Calcula el valor de $k$ para que:,1BC,Parcial 1,ex01e06,1,3,1,True
El \ resto \ de \ dividir \ P(x)=x^{27}-kx+3k-4 \ entre\  x+1 \ sea \ 11 ,"(Poly((3*k - k*x + x**27) - 4, 3*k - k*x + x**27, domain='ZZ'), Poly(x + 1, x, domain='ZZ'), 11)",4,Calcula el valor de $k$ para que:,1BC,Parcial 1,ex01e06,1,3,1,True
El \ resto \ de \ dividir \ P(x)=x^{25}-kx+3k-4 \ entre\  x+1 \ sea \ 11 ,"(Poly((3*k - k*x + x**25) - 4, 3*k - k*x + x**25, domain='ZZ'), Poly(x + 1, x, domain='ZZ'), 11)",4,Calcula el valor de $k$ para que:,1BC,Parcial 1,ex01e06,1,3,1,True
El \ resto \ de \ dividir \ P(x)=x^{25}-kx+3k-4 \ entre\  x-1 \ sea \ 3 ,"(Poly((3*k - k*x + x**25) - 4, 3*k - k*x + x**25, domain='ZZ'), Poly(x - 1, x, domain='ZZ'), 3)",3,Calcula el valor de $k$ para que:,1BC,Parcial 1,ex01e06,1,3,1,True
El \ resto \ de \ dividir \ P(x)=x^{25}-kx+3k-4 \ entre\  x+1 \ sea \ 7 ,"(Poly((3*k - k*x + x**25) - 4, 3*k - k*x + x**25, domain='ZZ'), Poly(x + 1, x, domain='ZZ'), 7)",3,Calcula el valor de $k$ para que:,1BC,Parcial 1,ex01e06,1,3,1,True
P(x)=x^2+mx-16 \ tenga\ dos \ ra\acute \imath ces \ opuestas,m*x + x**2 - 16,"\left [ 1, \quad m, \quad -16\right ]\to \left [ 0\right ]",Calcula el valor de $m$ para que:,1BC,Parcial 1,ex01e07,1,3,1,True
P(x)=\frac{x^2}{9}+mx+\frac{9}{25} \ tenga\ dos \ ra\acute \imath ces \ opuestas,m*x + x**2/9 + 9/25,"\left [ \frac{1}{9}, \quad m, \quad \frac{9}{25}\right ]\to \left [ 0\right ]",Calcula el valor de $m$ para que:,1BC,Parcial 1,ex01e07,1,3,1,True
P(x)=\frac{x^2}{25}-mx+\frac{4}{9} \ tenga\ dos \ ra\acute \imath ces \ opuestas,-m*x + x**2/25 + 4/9,"\left [ \frac{1}{25}, \quad - m, \quad \frac{4}{9}\right ]\to \left [ 0\right ]",Calcula el valor de $m$ para que:,1BC,Parcial 1,ex01e07,1,3,1,True
P(x)=4x^2-mx+9 \ tenga\ una \ ra \acute \imath z \ doble,-m*x + 4*x**2 + 9,"\left [ 4, \quad - m, \quad 9\right ]\to \left [ -12, \quad 12\right ]",Calcula el valor de $m$ para que:,1BC,Parcial 1,ex01e07,1,3,1,True
P(x)=\frac{x^2}{16}-mx+\frac{9}{4} \ tenga\ una \ ra \acute \imath z \ doble,-m*x + x**2/16 + 9/4,"\left [ \frac{1}{16}, \quad - m, \quad \frac{9}{4}\right ]\to \left [ - \frac{3}{4}, \quad \frac{3}{4}\right ]",Calcula el valor de $m$ para que:,1BC,Parcial 1,ex01e07,1,3,1,True
P(x)=\frac{x^2}{4}-mx+\frac{1}{16} \ tenga\ una \ ra \acute \imath z \ doble,-m*x + x**2/4 + 1/16,"\left [ \frac{1}{4}, \quad - m, \quad \frac{1}{16}\right ]\to \left [ - \frac{1}{4}, \quad \frac{1}{4}\right ]",Calcula el valor de $m$ para que:,1BC,Parcial 1,ex01e07,1,3,1,True
P(x)=4x^2+mx+9 \ no \ tenga\ ninguna \ ra \acute \imath z \ real,m*x + 4*x**2 + 9,"\left [ 4, \quad m, \quad 9\right ]\to -12 < m \wedge m < 12",Calcula el valor de $m$ para que:,1BC,Parcial 1,ex01e07,1,3,1,True
P(x)=9x^2-mx+\frac{1}{4} \ no \ tenga\ ninguna \ ra \acute \imath z \ real,-m*x + 9*x**2 + 1/4,"\left [ 9, \quad - m, \quad \frac{1}{4}\right ]\to -3 < m \wedge m < 3",Calcula el valor de $m$ para que:,1BC,Parcial 1,ex01e07,1,3,1,True
P(x)=16x^2-mx+\frac{9}{4} \ no \ tenga\ ninguna \ ra \acute \imath z \ real,-m*x + 16*x**2 + 9/4,"\left [ 16, \quad - m, \quad \frac{9}{4}\right ]\to -12 < m \wedge m < 12",Calcula el valor de $m$ para que:,1BC,Parcial 1,ex01e07,1,3,1,True
 A(x)= x^5+x^4-7x^3+x^2+10x-6\  y \\  B(x)= x^5+5x^4+x^3-19x^2-6x+18 \\ ,"(x**5 + x**4 - 7*x**3 + x**2 + 10*x - 6, x**5 + 5*x**4 + x**3 - 19*x**2 - 6*x + 18)",Descomposici \acute on:(\left(x - 1\right)^{2} \left(x + 3\right) \left(x^{2} - 2\right) \ y  \ \left(x - 1\right) \left(x + 3\right)^{2} \left(x^{2} - 2\right))\\x^{4} + 2 x^{3} - 5 x^{2} - 4 x + 6= \left(x - 1\right) \left(x + 3\right) \left(x^{2} - 2\right) \ MCD\ y \\ x^{6} + 4 x^{5} - 4 x^{4} - 20 x^{3} + 13 x^{2} + 24 x - 18= \left(x - 1\right)^{2} \left(x + 3\right)^{2} \left(x^{2} - 2\right) \ MCM,Halla el m.c.d. y el m.c.m. de los polinomios: ,1BC,Parcial 1,ex01e08,1,3,3,True
 A(x)= x^{5} - 6 x^{3} + 2 x^{2} + 9 x - 6\  y \\  B(x)= x^{5} + 3 x^{4} - 3 x^{3} - 13 x^{2} + 12 \\ ,"(x**5 - 6*x**3 + 2*x**2 + 9*x - 6, x**5 + 3*x**4 - 3*x**3 - 13*x**2 + 12)",Descomposici \acute on:(\left(x - 1\right)^{2} \left(x + 2\right) \left(x^{2} - 3\right) \ y  \ \left(x - 1\right) \left(x + 2\right)^{2} \left(x^{2} - 3\right))\\x^{4} + x^{3} - 5 x^{2} - 3 x + 6= \left(x - 1\right) \left(x + 2\right) \left(x^{2} - 3\right) \ MCD\ y \\ x^{6} + 2 x^{5} - 6 x^{4} - 10 x^{3} + 13 x^{2} + 12 x - 12= \left(x - 1\right)^{2} \left(x + 2\right)^{2} \left(x^{2} - 3\right) \ MCM,Halla el m.c.d. y el m.c.m. de los polinomios: ,1BC,Parcial 1,ex01e08,1,3,3,True
 A(x)= x^{5} - 2 x^{4} - 5 x^{3} + 10 x^{2} + 4 x - 8\  y \\  B(x)= x^{5} + 2 x^{4} - 5 x^{3} - 10 x^{2} + 4 x + 8 \\ ,"(x**5 - 2*x**4 - 5*x**3 + 10*x**2 + 4*x - 8, x**5 + 2*x**4 - 5*x**3 - 10*x**2 + 4*x + 8)",Descomposici \acute on:(\left(x - 2\right)^{2} \left(x - 1\right) \left(x + 1\right) \left(x + 2\right) \ y  \ \left(x - 2\right) \left(x - 1\right) \left(x + 1\right) \left(x + 2\right)^{2})\\x^{4} - 5 x^{2} + 4= \left(x - 2\right) \left(x - 1\right) \left(x + 1\right) \left(x + 2\right) \ MCD\ y \\ x^{6} - 9 x^{4} + 24 x^{2} - 16= \left(x - 2\right)^{2} \left(x - 1\right) \left(x + 1\right) \left(x + 2\right)^{2} \ MCM,Halla el m.c.d. y el m.c.m. de los polinomios: ,1BC,Parcial 1,ex01e08,1,3,3,True
\frac{{x^3}-x^2 -4x + 4}{{x^2} - 3x + 2}:\frac{{x^3} - {x^2} + 3x - 3}{{{x^3} + 3x}},((-4*x + x**3 - x**2 + 4)/(x**2 - 3*x + 2))/(((3*x + x**3 - x**2 - 3)/(x**3 + 3*x))),\frac{x^{2} + 2 x}{x - 1},Calcula expresando el resultado en forma de fracción algebraica irreducible:,1BC,Parcial 1,ex01e09,1,3,1,True
\frac{1+{ \frac{1}{x}}}{{1 + \frac{1}{{1 + \frac{1}{x}}}}},(1 + 1/x)/(1 + 1/(1 + 1/x)),\frac{x^{2} + 2 x + 1}{2 x^{2} + x},Calcula expresando el resultado en forma de fracción algebraica irreducible:,1BC,Parcial 1,ex01e09,1,3,1,True
\frac{{\frac{1}{{x - 3}} - \frac{1}{{x + 3}}}}{{1 - \frac{3}{{{x^2} - 9}}}},(-1/(x + 3) + 1/(x - 3))/(1 - 3/(x**2 - 9)),\frac{6}{x^{2} - 12},Calcula expresando el resultado en forma de fracción algebraica irreducible:,1BC,Parcial 1,ex01e09,1,3,1,True
